            2.2,	       -1.47707,	        4.16332,	       0.569423,	        64.3846,	       0.546269,
          2.205,	       -1.55812,	        1.31173,	       0.803809,	        2.31503,	       0.803809,
           2.21,	       -1.53607,	        1.27821,	       0.779894,	        3.13154,	       0.779894,
          2.215,	       -1.52963,	        1.35603,	       0.777176,	        2.51635,	       0.777176,
           2.22,	       -1.52399,	        1.14618,	       0.776272,	        1.98929,	       0.776272,
          2.225,	       -1.49905,	        1.84735,	       0.733904,	        7.74855,	       0.733904,
           2.23,	       -1.50995,	        1.52854,	       0.739953,	        6.60141,	       0.739953,
          2.235,	        -1.5114,	         1.0527,	       0.769327,	        1.90075,	       0.769327,
           2.24,	       -1.49751,	        1.47237,	       0.747117,	        4.65889,	       0.747117,
          2.245,	       -1.47931,	        1.66791,	       0.720168,	        5.86863,	       0.720168,
           2.25,	       -1.47752,	          1.588,	       0.719033,	        8.44219,	       0.719033,
          2.255,	       -1.46268,	        2.41301,	       0.684027,	        25.3828,	       0.683949,
           2.26,	       -1.44849,	        2.07719,	       0.649763,	        22.7542,	       0.649763,
          2.265,	       -1.43173,	        2.28163,	       0.653489,	        16.3601,	       0.653489,
           2.27,	       -1.44253,	        1.41184,	       0.703505,	        4.05045,	       0.703505,
          2.275,	       -1.42425,	        2.05765,	       0.633512,	        21.1232,	       0.633512,
           2.28,	       -1.41893,	        1.71204,	       0.643748,	        8.04563,	       0.643748,
          2.285,	       -1.40688,	         2.0658,	       0.626695,	         19.123,	       0.617411,
           2.29,	       -1.39548,	         1.7693,	       0.580919,	        23.5742,	       0.561837,
          2.295,	       -1.39314,	        1.62528,	       0.592643,	        18.3542,	       0.592643,
            2.3,	       -1.36805,	        2.06249,	       0.535002,	        31.0958,	       0.535002,
