            2.2,	       -1.42152,	        3.30751,	       0.119082,	        11.7991,	     -0.0560336,
          2.205,	       -1.50353,	        3.03518,	        0.61118,	        84.9017,	       -0.61118,
           2.21,	       -1.52982,	        1.37353,	        0.77471,	        3.26592,	       -0.77471,
          2.215,	        -1.5305,	        1.22402,	       0.783009,	        2.12904,	      -0.783009,
           2.22,	       -1.52228,	        1.38076,	         0.7673,	        3.57838,	        -0.7673,
          2.225,	       -1.50667,	         1.2788,	       0.752741,	        2.92484,	      -0.752741,
           2.23,	       -1.48939,	        1.90002,	       0.720625,	        7.51366,	      -0.720625,
          2.235,	        -1.4962,	        1.57886,	       0.744071,	        4.76544,	      -0.744071,
           2.24,	       -1.49179,	        1.42349,	       0.738822,	         4.2894,	      -0.738822,
          2.245,	       -1.48111,	         1.6164,	       0.699884,	        11.7646,	      -0.699884,
           2.25,	       -1.46844,	        1.34976,	       0.716136,	        3.80532,	      -0.716136,
          2.255,	       -1.46666,	        1.34083,	       0.711762,	        5.70544,	      -0.711762,
           2.26,	       -1.45213,	        2.21043,	       0.685328,	        19.3132,	      -0.685328,
          2.265,	        -1.4485,	        1.47097,	       0.693435,	        6.09033,	      -0.693435,
           2.27,	       -1.45122,	         1.6841,	       0.702949,	        6.39648,	      -0.702949,
          2.275,	       -1.42888,	         1.9213,	       0.636181,	        19.0091,	      -0.636181,
           2.28,	       -1.41864,	        1.79141,	       0.631881,	        21.2233,	      -0.631881,
          2.285,	       -1.37335,	        1.75035,	       0.415149,	        88.7442,	      -0.230426,
           2.29,	       -1.37384,	        2.80544,	        0.42933,	        112.582,	      -0.300884,
          2.295,	       -1.38221,	          1.892,	       0.579398,	         14.121,	      0.0455547,
            2.3,	       -1.37564,	         1.8139,	       0.573849,	        20.1224,	     -0.0579517,
