            2.2,	        -1.4615,	        9.08778,	       0.390012,	         261.93,	       0.281604,
          2.205,	       -1.49959,	        3.19057,	       0.511776,	        226.629,	       0.511776,
           2.21,	       -1.50346,	        1.96185,	       0.640855,	        61.1889,	       0.640855,
          2.215,	       -1.51454,	        1.79314,	       0.734828,	        14.1924,	       0.734828,
           2.22,	       -1.51349,	        1.57351,	       0.747835,	        7.67969,	       0.747835,
          2.225,	        -1.5226,	        1.47285,	       0.776682,	        3.47762,	       0.776682,
           2.23,	       -1.49791,	        1.38986,	       0.734838,	         5.1339,	       0.734838,
          2.235,	       -1.49536,	        1.59336,	       0.725324,	        12.5005,	       0.725324,
           2.24,	       -1.45044,	        2.68464,	       0.603804,	        46.4369,	       0.603804,
          2.245,	       -1.45805,	        1.62161,	       0.656575,	        12.5125,	       0.656575,
           2.25,	         -1.452,	        2.42026,	       0.647455,	        37.7407,	       0.647455,
          2.255,	       -1.46224,	        1.44539,	       0.707854,	        5.01948,	       0.707854,
           2.26,	       -1.44841,	         1.4658,	       0.679235,	        9.13445,	       0.679235,
          2.265,	       -1.44153,	        1.73462,	       0.651007,	        20.2721,	       0.651007,
           2.27,	       -1.43291,	        1.31738,	       0.629383,	        14.3079,	       0.629383,
          2.275,	       -1.41006,	        1.51022,	       0.570785,	        22.3659,	       0.570785,
           2.28,	       -1.38446,	         1.6176,	       0.495575,	         31.922,	       0.495575,
          2.285,	       -1.38182,	        1.57223,	       0.532505,	        19.8355,	       0.532505,
           2.29,	       -1.38351,	        2.77351,	       0.505862,	        72.6651,	       0.505862,
          2.295,	       -1.38233,	        1.71067,	       0.541075,	        43.6577,	       0.541075,
            2.3,	       -1.37523,	        1.64065,	       0.558634,	        17.1684,	       0.558634,
