            2.2,	       -1.44718,	        8.80579,	       0.222923,	        84.3822,	       0.222154,
          2.205,	        -1.5017,	        1.84128,	       0.578958,	        70.9642,	       0.578958,
           2.21,	       -1.53441,	        1.33642,	       0.775444,	         4.6602,	       0.775444,
          2.215,	       -1.52836,	        1.57937,	       0.767172,	        8.19564,	       0.767172,
           2.22,	       -1.51193,	        1.37177,	       0.743374,	        6.13166,	       0.743374,
          2.225,	       -1.50783,	        1.32271,	       0.744343,	        5.40586,	       0.744343,
           2.23,	        -1.4961,	        1.60892,	       0.717216,	        10.9546,	       0.717216,
          2.235,	       -1.48857,	        1.45468,	       0.720093,	        6.24107,	       0.720093,
           2.24,	       -1.48595,	        1.58283,	       0.726992,	        5.49208,	       0.726992,
          2.245,	       -1.47915,	        1.82141,	       0.721204,	        6.66175,	       0.721204,
           2.25,	       -1.47202,	        1.45844,	       0.713303,	        5.49481,	       0.713303,
          2.255,	       -1.47288,	        1.65189,	       0.719187,	        8.68534,	       0.719187,
           2.26,	       -1.43444,	        2.32407,	        0.63272,	        29.5623,	        0.63272,
          2.265,	       -1.42373,	        2.22004,	       0.509152,	        140.746,	       0.509152,
           2.27,	       -1.41387,	        2.08445,	       0.532244,	        106.497,	       0.532244,
          2.275,	       -1.42091,	        1.30908,	       0.609803,	        11.7235,	       0.609803,
           2.28,	       -1.42325,	         1.1401,	       0.660779,	        5.14219,	       0.660779,
          2.285,	       -1.39537,	        1.79841,	       0.580171,	        38.6838,	       0.580171,
           2.29,	       -1.37051,	        2.28838,	       0.362962,	        251.752,	       0.303847,
          2.295,	        -1.3667,	        2.48821,	       0.437416,	        139.296,	       0.160289,
            2.3,	        -1.3652,	        2.23401,	       0.412561,	        166.023,	       0.190449,
